,Place Name,Place ID,Latitude,Longitude,Rating,Rate_amount,Types,Address
17,麥當勞-新莊中山店,ChIJz04ygdinQjQRTCLWNaNc08Q,25.024456,121.413063,4.1,1255,"['restaurant', 'food', 'point_of_interest', 'establishment']",新莊區新北大道七段792號
18,八方雲集-新莊新建巷店,ChIJuUVxqImnQjQRh2rIJm5_xbY,25.0215007,121.4149263,3.7,175,"['restaurant', 'food', 'point_of_interest', 'establishment']",新莊區中正路新建巷15弄40號
19,八方雲集鍋貼水餃專賣店,ChIJ5Xh0qImnQjQRBQvdYdezXzU,25.0215661,121.4148811,4.1,21,"['restaurant', 'food', 'point_of_interest', 'establishment']",新莊區中正路新建巷15弄40號
22,八方雲集 (三重三和夜市店),ChIJBctxgiSpQjQR1d4BHtFLY28,25.0678969,121.5002061,3,178,"['restaurant', 'food', 'point_of_interest', 'establishment']",三重區三和路二段63號
23,MOS BURGER摩斯漢堡,ChIJrwJ_XSGpQjQRpvTOKMQgUKA,25.0675577,121.4964778,4.1,899,"['restaurant', 'food', 'point_of_interest', 'establishment']",三重區正義北路177號
26,PIZZA HUT必勝客-三重正義店,ChIJV7faTSGpQjQRIGZY0m0af9w,25.0686408,121.496186,3.8,270,"['meal_delivery', 'meal_takeaway', 'restaurant', 'food', 'point_of_interest', 'establishment']",三重區正義北路213號
28,SUBWAY 三重正義店,ChIJoXAFRCGpQjQRD0TmgaQY4hY,25.068015,121.4960004,4,365,"['restaurant', 'food', 'point_of_interest', 'establishment']",三重區正義北路236號
29,八方雲集 正義北店,ChIJQda76FOpQjQRnIx0T04pd8s,25.0690004,121.4959912,3.2,92,"['restaurant', 'food', 'point_of_interest', 'establishment']","No. 227號, Zhengyi North Road, Sanchong District"
30,麥當勞-三重龍門店,ChIJtW5g7yapQjQRgi6cNGY3TWo,25.0724595,121.4960264,3.9,1080,"['restaurant', 'food', 'point_of_interest', 'establishment']",三重區龍門路42號
31,八方雲集鍋貼水餃專賣店,ChIJ9zWQtN6pQjQRnPW7-hYrgTg,25.0721015,121.4959192,3.7,51,"['restaurant', 'food', 'point_of_interest', 'establishment']","No. 37號, Longmen Road, Sanchong District"
