,Place Name,Place ID,Latitude,Longitude,Rating,Rate_amount,Types,Address
236,屈臣氏Watsons,ChIJZ3Bl622pQjQRCzOfZH6LCKk,25.0488142,121.518574,3.8,32,"['drugstore', 'health', 'point_of_interest', 'store', 'establishment']",大同區市民大道一段209號
238,屈臣氏Watsons 西門店,ChIJ714HdQmpQjQRn0TTQzMCCbA,25.0426079,121.507201,3.2,152,"['drugstore', 'health', 'point_of_interest', 'store', 'establishment']",萬華區成都路15號
240,屈臣氏Watsons武昌,ChIJgSQETgmpQjQR16RWEAMa7NU,25.0446766,121.5077356,3,74,"['drugstore', 'health', 'point_of_interest', 'store', 'establishment']",萬華區武昌街二段37號
242,康是美 站前門市,ChIJnYoHZu-pQjQRIgv-e_pfr9Q,25.0463846,121.5178642,-,-,"['drugstore', 'health', 'point_of_interest', 'store', 'establishment']","號地下一樓, No. 49, 忠孝西路一段, 中正區"
243,康是美 北車門市,ChIJn_DBN8KpQjQRaLyEf63tvR4,25.0463846,121.5178642,2.5,2,"['drugstore', 'health', 'point_of_interest', 'store', 'establishment']",中正區忠孝西路一段49號B3
244,屈臣氏,ChIJp-JwQ3KpQjQRstlHhDanZWs,25.0463846,121.5178642,2.4,11,"['drugstore', 'health', 'point_of_interest', 'store', 'establishment']","B1F(M區, No. 49號, 忠孝西路一段, 中正區"
245,屈臣氏微風站前,ChIJR4UzfnKpQjQRC6Mu6pfIK9s,25.0479239,121.517081,2.9,20,"['drugstore', 'health', 'point_of_interest', 'store', 'establishment']",中正區北平西路3號
246,康是美 武昌門市,ChIJT_syGpypQjQRhJJ2hqkKrWg,25.044067,121.508413,5,1,"['drugstore', 'health', 'point_of_interest', 'store', 'establishment']","號1樓, No. 104, 中華路一段, 萬華區"
247,屈臣氏Watsons (來店取貨),ChIJI-gsfr6pQjQRoqXIZO88sj4,25.041914,121.507535,1.9,10,"['drugstore', 'health', 'point_of_interest', 'store', 'establishment']",萬華區漢中街131號
249,康是美 (漢中二門市),ChIJG7qoiiypQjQRTvDWdFTeUV4,25.0431899,121.50748,3.8,4,"['drugstore', 'health', 'point_of_interest', 'store', 'establishment']",萬華區漢中街109-2號1樓
250,康是美 漢中門市,ChIJyyhVRAmpQjQR5p3i01xEjkM,25.044207,121.507549,2.7,26,"['drugstore', 'health', 'point_of_interest', 'store', 'establishment']","No. 47號, Hanzhong Street, Wanhua District"
259,屈臣氏Watsons (來店取貨),ChIJAQchB2ypQjQR-o4fZ1V5ScQ,25.0526999,121.519432,3.4,57,"['drugstore', 'health', 'point_of_interest', 'store', 'establishment']",中山區南京西路42號
262,屈臣氏Watsons (來店取貨),ChIJFU_JWmupQjQRrFns6wX2aGA,25.0545399,121.5149844,2.2,23,"['drugstore', 'health', 'point_of_interest', 'store', 'establishment']",大同區寧夏路9號
264,康是美(南西門市),ChIJL89lXBOpQjQRiW46f9HM448,25.053913,121.513,4.2,31,"['drugstore', 'health', 'point_of_interest', 'store', 'establishment']",大同區南京西路316號
271,康是美 欣運門市,ChIJiU1REJmpQjQR2XjOiqsXMIk,25.0500732,121.5201035,2,4,"['drugstore', 'health', 'point_of_interest', 'store', 'establishment']",大同區地下街 長安西路52-1號B1(中山
272,康是美,ChIJU0XIVGypQjQRcciFzJun9Eg,25.0509419,121.5173002,2.7,30,"['drugstore', 'health', 'point_of_interest', 'store', 'establishment']",大同區承德路一段29號
273,康是美 新長順門市,ChIJ4Ud0XG-pQjQR3uELJaYx68M,25.0505356,121.5251244,3.9,44,"['drugstore', 'health', 'point_of_interest', 'store', 'establishment']","No. 111號, Linsen North Road, Zhongshan District"
274,屈臣氏Watsons (來店取貨),ChIJmTOGM2mpQjQRPcg_2fsoW4A,25.0525991,121.5215124,2.1,32,"['drugstore', 'health', 'point_of_interest', 'store', 'establishment']","No. 3-2號, Nanjing West Road, Zhongshan District"
277,Watsons,ChIJxXmAD2ipQjQRUQf-6BA4a9Y,25.051017,121.525232,3.3,20,"['drugstore', 'health', 'point_of_interest', 'store', 'establishment']","1F, No. 131號, Linsen North Road, Zhongshan District"
283,屈臣氏Watsons雙連店,ChIJ7Qj84GmpQjQRLSHFapw6TKQ,25.0575681,121.5211421,2.9,47,"['drugstore', 'health', 'point_of_interest', 'store', 'establishment']",中山區民生西路54號
288,屈臣氏Watsons (來店取貨),ChIJlzKXy0KpQjQRfGlZTUBL0Qc,25.0581721,121.5254238,3.4,20,"['drugstore', 'health', 'point_of_interest', 'store', 'establishment']",中山區林森北路380號
290,康是美 林森門市,ChIJrYo5C2ipQjQRYjFncXDy1-E,25.0556521,121.5253246,3.7,42,"['drugstore', 'health', 'point_of_interest', 'store', 'establishment']",中山區林森北路282號
291,屈臣氏Watsons (來店取貨),ChIJVRMp62apQjQRrPR6v8bgbPA,25.0517979,121.52967,3.3,32,"['drugstore', 'health', 'point_of_interest', 'store', 'establishment']",中山區南京東路二段50號
302,康是美 新雙連門市,ChIJ90ppCkKpQjQRRhCSqbaq6Qo,25.0578769,121.5213463,3.9,14,"['drugstore', 'health', 'point_of_interest', 'store', 'establishment']","No. 23號, Minsheng West Road, Zhongshan District"
305,屈臣氏,ChIJixJimAqpQjQRCeIVCwO3Ie0,25.057175,121.5157569,2.8,8,"['drugstore', 'health', 'point_of_interest', 'store', 'establishment']","No. 231號, Minsheng West Road, Datong District"
306,屈臣氏Watsons (來店取貨),ChIJqfpxdUKpQjQRcKZFa3M58xo,25.057175,121.5157569,1,1,"['drugstore', 'health', 'point_of_interest', 'store', 'establishment']","No. 231號, Minsheng West Road, Datong District"
311,康是美 森北門市,ChIJv8ftLEOpQjQR4fMdeL756q0,25.0599301,121.5253775,4.2,6,"['drugstore', 'health', 'point_of_interest', 'store', 'establishment']","No. 426號, Linsen North Road, Zhongshan District"
316,屈臣氏Watsons (來店取貨),ChIJlTI640OpQjQRx0FZAQJ6O1M,25.06259,121.5201139,4.1,9,"['drugstore', 'health', 'point_of_interest', 'store', 'establishment']",中山區民權西路64號
322,屈臣氏Watsons,ChIJ35WS30SpQjQR5_agYQiOrXw,25.0648286,121.524139,3.1,51,"['drugstore', 'health', 'point_of_interest', 'store', 'establishment']",中山區雙城街14號
326,康是美保平門市,ChIJUy-SdRWpQjQRW03p0eRr3uU,25.0589359,121.5113606,4.3,26,"['drugstore', 'health', 'point_of_interest', 'store', 'establishment']",大同區延平北路二段198號
335,康是美 權站門市,ChIJmy5p8UOpQjQRtnPRwZyKhpA,25.0626195,121.5210173,4.1,8,"['drugstore', 'health', 'point_of_interest', 'store', 'establishment']","1樓B1, No. 40號, Minquan West Road, Zhongshan District"
342,康是美 晴安門市,ChIJqyEW30SpQjQRU3IOXiwqP0Q,25.0648519,121.5244321,4.4,40,"['drugstore', 'health', 'point_of_interest', 'store', 'establishment']","樓+B1, No. 14號1, Nong'an Street, Zhongshan District"
352,康是美(花博門市),ChIJAVtCxEipQjQR8Tqgd4pHgzE,25.0707266,121.5189349,3.8,21,"['drugstore', 'health', 'point_of_interest', 'store', 'establishment']",大同區酒泉街39號
364,屈臣氏Watsons (來店取貨),ChIJjZsk2D6pQjQRJ8F837fAopY,25.064712,121.5112102,2.6,19,"['drugstore', 'health', 'point_of_interest', 'store', 'establishment']",大同區延平北路三段33號
367,屈臣氏Watsons (來店取貨),ChIJxRg9N0ipQjQRSZkR2PjRUHM,25.071848,121.5153119,3.5,14,"['drugstore', 'health', 'point_of_interest', 'store', 'establishment']",大同區酒泉街70號
373,康是美 庫倫門市,ChIJ72F0ZiypQjQRAMGb8FTp0fE,25.0720579,121.5182934,4.1,7,"['drugstore', 'health', 'point_of_interest', 'store', 'establishment']",大同區庫倫街45號
376,康是美,ChIJjaGWJrCuQjQRo8vCXS4lQTQ,25.0868537,121.5252903,3.7,9,"['drugstore', 'health', 'point_of_interest', 'store', 'establishment']",士林區大東路11-6號
377,屈臣氏Watsons,ChIJh7WNJrCuQjQRJ2zrR20-P_w,25.0870179,121.5252745,3.5,15,"['drugstore', 'health', 'point_of_interest', 'store', 'establishment']",士林區大東路11之7號1樓-4樓
